text,sentiment
"Parametru, ktere ovlivnuji herni zazitek, je hodne. Lepsi podani barev, velka uhlopricka, vysoka obnovovaci frekvence a jemne rozliseni spadaji mezi ty nejdulezitejsi. Zacneme u rozliseni. FullHD na 24 palcich plne dostacuje, pokud nemate oblicej nalepeny na displeji. Barevne podani IPS displeje na hry rovnez postacuje. Nema cenu si mazat med kolem pusy, pokud pracujete v grafickych programech, rozhodne neni levny herni monitor idealni volbou. Navic zamrzi, ze se v teto kategorii nerozmohl trend zvysovani maximalniho jasu. Posunout 250cd/m2 na vyssi hodnotu by totiz prospelo obrazu vice, nez presnejsi podani barev. Neni to ani tak kritika monitoru, ale spis vyrobcu, kteri nevenuji tomuto parametru dostatecnou pozornost. Matna povrchova uprava tuto skutecnost lehce zachranuje.",1
"Asus ovsem pozornost venoval hlavne obnovovaci frekvenci. Ta dosahuje az na 144 Hz a kdo nekdy hral na monitoru, jenz presahnul aspon 120 Hz vi, ze plynulejsi obraz dela vic, jak jemnejsi rozliseni na teto uhlopricce. Pokud do nejakeho parametru herniho monitoru ma cenu investovat, ackoliv setrite, je to prave obnovovaci frekvence. Obraz pusobi plynule a jen tezko bez ukazky vysvetlite ostatnim, jak moc. Asus navic nezapomnel ani na podporu variabilniho frameratu pomoci AMD FreeSync. Vase graficka karta proto nemusi 144 FPS dosahnout, presto si plynulejsi obraz do sytosti uzijete.",1
"Ve vysledku z toho tezi hlavne kompetitivni hry. Nehraje pritom roli, zda preferujete Valorant, CS:GO, Lolko, Dotu nebo treba Rainbow Six Siege. Stejne tak je tomu u zavodni her, ale rozdil poznate i pri scrollovani na internetu. Vysoka obnovovaci frekvence dela proste hrozne velky rozdil a diky rozsireni teto vlastnosti mezi levne monitory jiz neexistuje vymluv, proc 144 Hz nebrat. Obnovovaci frekvenci pritom doplnuje IPS panel, ktery podava slusne pozorovaci uhly a 1ms doba odezvy.",1
"Herni specifikace pak doplnuji technologie jako Flicker-Free a Shadow Boost. Zalezi na vas, zda funkce vyuzijete. Z testovani muzeme rict, ze nas oci nebolely a jako nejvic prakticka funkce se jevila moznost nastavit si na monitoru vlastni crosshair.",1
"Zatim se monitoru dalo vytknout snad jen prumerne podani barev. Za techto okolnosti by asi monitor zapadl mezi ostatni v dane cenove kategorii. Jenze Asus pridava jednu super vlastnost, kterou mozna vyuzijete jednou za cas, ale o to vic si ji vychvalite. Rec je o polohovatelnosti. Monitor lze snadno vyskove posouvat, otacet dle osy stojanu i naklanet. Neni navic problem obrazovku kompletne pretocit na vysku. To navic usnadni prave pristup k jednotlivym portum. Otaceni i posun v jednotlivych osach je precizne provedeno a monitor drzi v jakekoliv poloze.",1
"Stojan monitoru pritom neni masivni a zabere malo prostoru. Cerno cervene doplnky pusobi minimalisticky a hezky. Celkove vzhledu neni co vytknout, protoze zaujme, ale nijak pri hrani nerusi.",1
"Ergonomicky stojan se zkratka povedl, a prave jeho pritomnost monitor Asus VG249Q velmi odlisuje od konkurence. Presto vyrobce umoznuje vyuzit VESA drzaku.",1
"Jestli hledate nejlepsi koupi v dane kategorii, jiste hledite na dulezite a prakticke parametry. RGB podsviceni vam snimky za sekundu neprida. IPS panel a 144 Hz ale jiste ocenite. Moznost snadneho polohovani rovnez. Konkurence sice nabizi podobne vlastnosti panelu, ale nepridava onu polohovatelnost a jistotu znacky, jakou u Asusu mate. Vtip je ovsem v tom, ze VG249Q je levnejsi, nez konkurencni produkty s podobnymi parametry.",1
"Asus proste dokazal vyrobit monitor s panelem, ktery se v dane cenove relaci okolo peti tisic vyrovna konkurenci. Pritom zbyle provedeni, predevsim stojanu, ostatni prevysuje. To vse za nizsi cenu. Asus VG249Q je ve sve kategorii definici skveleho pomeru ceny a vykonu. Rozhodne doporucujeme.",1
"Sportovni prvotina od Korejske automobilky je jedno velke nekoncici prekvapeni. Automobilka bez sportovnich korenu dokazala pod vedenim Alberta Biermanna postavit auto, ktere zavrelo pusu vsem kritikum. Auto postavene ve zcela jine filozofii nez jeho konkurence. Nehonilo se za casy na okruhu ani maximalnimi vykony, chtelo poskytnou co nejvetsi poteseni ridici. A presne to splnilo. Dokonale sladeny balicek ridicske radosti, a pro me stale nejzabavnejsi nova predokolka na trhu. Po par letech si dokazalo vybudovat silne postaveni: a v automobilce si rekli, ze by to chtelo jeste trochu okorenit. Prichazi tak prisne omezena edice, ktera vznikne pouze v poctu 600 kusu, z toho do Cech se jich podiva jen 7. A verte mi, ze tahle limitka neni jen o par nalepkach a hezcich kolech.",1
"Ale dnes nebudeme dokola omilat skoro hollywoodsky pribeh o tom, jak se z podcenovaneho outsidera stal hrdina - o tom uz bylo napsano dost. Dnes se podivame na to, proc je zrovna tohle auto tak vyjimecne. Hlavnim cilem uprav bylo vytvorit jeste o neco koncentrovanejsi sportovni zazitek, a slo se na to snizovanim hmotnosti. Celkem o vic, nez 50 kilo. A co je nejdulezitejsi - vetsina kil slo dolu z neodpruzenych hmot, takze na mistech, kde to opravdu dava smysl. Z onech 50 kilo ukously celych 22 kilogramu nadherna kovana kola od O.Z. racing. Odlehcovani na podvozku pokracovalo na zadni naprave, kde jsou zavesy s naboji kol nove vyrobene z hliniku. O zbytek diety se postaral carbon (odtud to ,,C v nazvu). Vsechny dily jsou vyrobeny opravdu z uhlikovych vlaken - zadne nalepky ani atrapy. Kapota prinesla usporu vice nez 7 kilo. Na prednim narazniku, prazich a zadnim difuzoru se usetrila dalsi kila. Musim pochvalit kvalitu zpracovani carbonovych dilu. Automobilka zde odvedla skvelou praci. A nejen, ze skvele vypadaji, jsou zaroven i funkcni a spolu s nizsi hmotnosti prinasi i zlepseni aerodynamiky.",1
"Dalsich vylepseni se dockal interier. Ne, zatim nejasejte. Stale jde o cerno cernou nudu, ale aspon rude pasy tu trochu delaji paradu. Ostatni zmeny jsou vicemene funkcni. Tou nejmensi je plaketka s vyrobnim cislem, ktere je dle meho na trochu zvlastnim miste a nepusobi moc hodnotne - ale je tu, a to se pocita! Dalsi novinkou je alcantarou posity volant, ktery skvele padne do ruky. Oproti klasickemu ma jeste dve kouzelna tlacitka v cervene (nebo oranzove, neumim to poznat, jsem chlap) barve, namisto standardni modre. No, a tou posledni (a nejlepsi) zmenou jsou carbonove skopky od Sabeltu, ktere ukrojily dalsich 15 kilo. Jedna vec je, ze jsou tak krasne az vam zvlhnou oci, dulezitejsi ale je, ale ze si v ,,eNku konecne muzete poradne sednout. Standardni sedadla z i30N jsou totiz zbytecne komfortni a sedi se v nich trochu jak na zachode. Zatimco ty v ,,Cecku jsou manualne posuvne, a daleko mene polstrovane. Hlavni vyhody jsou dve. Tou prvni je, ze pod zadkem mate mene materialu, takze si s vami auto muze lepe povidat. Tou druhou je, ze se sedi vyrazne niz, takze do auta doslova spadnete a jste nadherne v linii s kapotou. Ridicska pozice je nyni na zcela jine urovni. No, a vlastne me jeste napada jedna vyhoda. Pokud jste takovy porizek jako ja a do metraku vam chybi jedna poradna svacina, tak snizujete i teziste - veda. To ostatne snizila uz automobilka o 8,8 milimetru diky kratsim pruzinam.",1
"Pohonna jednotka se bohuzel zmen nedockala. Ne, ze by to bylo az tak potreba. Foukany dvoulitr je skvely, a vykon mu nechybi - stale nabizi 275 koni a 378 Nm. Ale sakra, jde o limitku. I symbolickych 10 koniku by potesilo. Nezbyva, nez jit na silnici overit, jak se zmeny podepsali na chovani tohohle ulicnika.",1
"Prvni kilometry kodrcani po meste neprinasi zadne prekvapeni. Auto je tvrde jak zebrinak. Uz klasicke i30N je poradne tuhe, a zkraceni pruzin o 6 milimetru to moc nevylepsuje. Auto i v nejmekcim nastaveni poskakuje, kopiruje kazdou diru, a tak nejak vas nuti proklinat politiky za nedodrzene sliby o opraveni silnic. Tvrda skorepina se navic ani nesnazi ochranit vase pozadi pred nakopavanim. Netvrdim, ze se to neda vydrzet. Takove Clio Trophy je jeste o kousek horsi, ale jestli tohle chcete postupovat pri denni jezdeni, tak musite byt hodne odhodlani, nebo mit sklony k sebeposkozovani. Jen to, prosim, neberte jako kritiku. Tohle auto nikdo nestavel jako nakupni tasku, a denni pouzitelnost bylo asi to posledni, co meli inzenyri v hlavach - tohle neni Golf GTI. S radosti tedy necham mesto za zady a upaluju na okresky.",1
"Blahove prepinam auto do nejostrejsiho rezimu N a vyrazim. Uz je to nejaka doba, co jsem naposledy v Nku sedel, a trochu jsem zapomnel, jaky tohle auto umi delat kraval. Po instalaci filtru pevnych castic se sice z toho cirkusu neco ztratilo, ale porad vydavaji koncovky vyfuky naprosto sileny rev, ktery pripomina zavodaky. A ta kanonada pri razeni - uz se zase smeju jak pitomec. Zajimavy poznatek je taky fakt, ze i pres totozny vykon se seriovkou se auto daleko lepe rozebiha. Motor nema takovy problem roztocit lehka kovana kola, a tahle seda strela daleko agresivneji buduje rychlost. Protahnu se prvni serii zatacek a zjistuji, ze N rezim je pro skutecny svet uz trosku moc. Priznam se, ze okreska, kterou si vybiram, nema zrovna ukazkovy povrch. Rad auta vyzkousi v limitnich situacich, ne ve sterilnich podminkach, kde funguje vse. A stejne jako u bezneho i30N i zde plati, ze nejtvrdsi rezim podvozku se hodi pouze na okruh.",1
"Auto v nem pusobi jako by nemelo tlumice, ma trochu problem drzet kontakt s vozovkou, a odskakuje na nerovnostech. Na druhou stranu, na okruhu tenhle ,,beton ocenite. Po par kilometrech tedy vymeknu, a podvozek davam do nejkomfortnejsiho nastaveni. U Hyundai i30N totiz muzete volit bud prednastavene rezimy, nebo si nakonfigurovat vlastni. Na nasich cestach se mi nejvic osvedcilo reseni vsechno nejvic, jen podvozek do mekka. A hle, vsechno se razem meni. Auto je porad tvrde jak sutr, ale dokaze naprosto dokonale kopirovat vozovku bez ohledu na to, jak moc je rozmlacena. Vsechna kola jsou neustale v kontaktu s asfaltem a vam to tak dava moznost vyuzit naplno potencial auta. Najednou je auto jak terier, ktery se zene za mickem. Z jedna zatacky do druhe skace s takovou chuti, ze se vam tomu nechce verit. Nikde jsem se o tom nedocetl, ale trochu Hyundai podeziram z toho, ze auto ma trochu agresivnejsi geometrii, protoze to, jakym zpusobem pada do oblouku je opravdu uzasne. Auto predvadi skvelou stabilitu. Jakmile se kousne, uz nepusti. Navic mu vylozene chutna drsne zachazeni. Jakmile k nemu budete pristupovat v rukavickach, zacne se s vami hadat. Musite mu davat jasne prikazy, drzet ho pod krkem, a hlavne se nepo***.",1
"Ono totiz oproti vetsine dnesnich hothatchu pusobi dost divoce a nesmlouvave. Skvelou praci odvadi i elektronicky rizeny samosvor na predni naprave. V oblouku krasne stahuje cumak dovnitr zatacky a na vyjezdu muzete poradne zatopit beze strachu, ze spachate kremaci jedne gumy. Naprosto fenomenalni je take sestistupnovy manual. Ten je oproti standardu beze zmeny, ale to vubec nevadi. Ma kratke presne drahy, a menit s nim rychlosti je naprosta slast. A zapomenout urcite nemuzu ani na vytecne nastavene rizeni. Posilovac v Nku beru spolecne s tim v ToyoBaru za jeden z nejlepe naladenych na trhu. Je prijemne tuhy, k ridici posila kupu informaci a nechybi mu presnost. Taky je rizeni extremne rychle. Mezi krajnimi polohami ma jen lehce pres 2 otacky, a je tak citlive, ze i sebemensi impulz se ihned prenasi do karoserie. Ze zacatku jsem tak mel trochu problem drzet auto v primem smeru na dalnici, ale je to o zvyku. Jakmile dojde na lamani chleba a budete chtit auto vyuzit k tomu, k cemu bylo stvorene, budete ho milovat. Auto diky nemu muzete skladat s naprostou preciznosti do zatacek, a pritom snad nikdy nedojde na situaci, kdy bude potreba ruckovat.",1
"Celkove by se dalo rict, ze vse, co plati o beznem Nku, plati i zde. Stale je to uzasne zabavne auto, ktere svym pristupem k ridici nema ve sve tride konkurenci. Stale ma v sobe ten spravny nadech starych casu, kdy bylo potreba opravdu ridit. Stale jde o trochu zaludnou potvoru, kterou se musite naucit krotit, ale odmeni se vam za to spoustou zazitku. V limitovane verzi se ale podarilo kazdou ze zminenych vlastnosti posunout jeste o maly kousek dal a stvorit tak opravdu koncentrovany ridicsky nastroj, ktery bavi a zaroven je az nebezpecne rychly. Na prvni pohled decentni zmeny maji ve vysledku obrovsky dopad na to, jak cele auto pusobi. Je to skvela ukazka poctiveho tovarniho tuningu, kde se zlepsilo cele auto a stvoril se naprosto vyvazeny balicek, ktery dohromady funguje v naproste symbioze.",1
"Na tech par radku je opravdu tezke dostat vsechny pocity a to, jak neuveritelne funkcni tohle auto je, kdyz dojde na ostrou jizdu. Ted bych vam tu mohl zacit vypravet o jednom krasnem vyletu do nejvyssiho ceskeho pohori, kde jsem s timhle prckem na zakroucenych cestickach delal vrasky na cele majiteli osmivalcove R8, ale vy byste mi stejne neverili...a ve finale to ani neni dulezite. Dulezite je, ze Hyundai postavil auto, na ktere budu s laskou vzpominat. Auto, ktere svym razenim vyvolava vzpominky na dobu davno minulou. Auto, ktere potrebuje, aby se ve vas probudil ridic. A za kazde takove je potreba byt vdecny. At si klavesnicovi kovbojove treba otlucou prsty do krve, Hyundai i30N Project C je zatracene povedeny kousek.",1
"Hyundai i30N Project C toho na prvni pohled moc nemeni, ale male zmeny na hodne mistech prinesly zcela nove chovani auta. Jde o koncentrovanou ridicskou zabavu a zavan starych casu, kdy byla auta trochu zbesilejsi.",1
"Ne kazdy je ochotny utratit za bezdratova sluchatka tisice korun. Prave proto Honor pred nedavnem predstavil Choice Earbuds. Ackoli jim nelze zaprit znacnou podobu s AirPods, za 899 Kc toho nova sluchatka od Honor nabizi vice, nez by kdokoli cekal.",0
"Honor Choice Earbuds v prvni rade zaujmou svoji vydrzi. Na jedno nabiti totiz zvladnou prehravat hudbu az 6 hodin, spolu s nabijecim pouzdrem pak poskytnou az 24 hodin prehravani. Nechybi jim ani funkce okamziteho auto-parovani nebo dotykove ovladani, kdy primo skrze sluchatka muzete preskakovat skladby, pozastavit prehravani ci ovladat prichozi hovory.",0
"Sluchatka se take chlubi odolnosti proti prachu a vode, nizkou latenci pripojeni diky Bluetooth 5.0 a v neposledni rade kvalitni zvukovou reprodukci, kterou zajistuje jemne vyladena 7mm membrana. Pro hovory jsou pak na kazdem sluchatku pripraveny dualni mikrofony s redukci okolniho hluku, takze vas pri volani nic nebude rusit a druha strana vas jasne uslysi. A dobrou zpravou je, ze funguji i v rezimu jednoho sluchatka, tudiz je muzete pouzivat jako handsfree.",0
Honor Choice Earbuds ted u Mobil Pohotovosti docasne koupite jen za 899 Kc (bezne 999 Kc).,0
"Je to neuveritelne, ale prvni generace Surface Booku byla predstavena na stejne tiskove konferenci jako smartphony Microsoft Lumia 950 a 950 XL. Tuto prezentaci Panose Panaye radim mezi sve nejoblibenejsi, obcas si na ni vzpomenu a cast s odhalenim Surface Booku si z dlouhe chvile prehraji znova. Vlastne si ani nevzpominam, kdy jsem naposledy zazil podobny wow efekt, jako kdyz tehdejsi sef hardwarove divize Microsoftu odepnul displej od klavesnice a prohlasil, ze se jedna o nejtenci a nejvykonnejsi pocitac, ktery byl kdy vyroben.",1
"Druha generace z roku 2017 vypadala navlas stejne, coz se dalo tolerovat; preci jen Surface Book byl ve sve dobe nadcasove zarizeni a nebylo nutne vrhat se do velkych designovych obmen. Kdyz ale Microsoft pred nedavnem predstavil potreti to same, byl jsem malinko zklamany. V Redmondu zjevne spolehaji na to, ze Surface Book nema prakticky konkurenci, a proto nam serviruji stejne vypadajici zarizeni pouze s nekolika upravami uvnitr. Znamena to, ze Surface Book je dokonaly stroj, na kterem neni co vylepsovat?",1
"Obsah baleni: pocitac, nabijecka a nic vic",1
"Microsoft nikdy nebyva v baleni svych pocitacu nijak stedry a ani Surface Book 3 neni vyjimkou - v bile krabicce najdete pouze samotny pocitac a nabijecku. Je to skoda, majitele pocitacu Surface povetsinou nedaji na sva zarizeni dopustit a nepochybne by ocenili nejaky artefakt navic, kterym by mohli dat svuj vztah k produktu najevo i navenek. Testovaci pocitace od Microsoftu mi napriklad chodi v praktickych platenych taskach s logem Microsoft Surface, coz by klidne mohla byt zajimava obdoba jablecnych samolepek.",1
Design a konstrukce: potreti ta sama pisnicka,1
"Stejne jako vsechny ostatni pocitace od Microsoftu, je i Surface Book 3 nesmirne elegantnim zarizenim, ktere zaujme kazdeho milovnika jednoducheho a ucelneho designu. Je to takovy opak hernich notebooku, jejichz vyrobci nesetri divokymi kombinacemi tvaru, textur a svetelnych efektu. Oproti nim vypada Surface Book jako jeden horcikovo-hlinikovy ingot, ktery je zcela prosty jakychkoliv nadbytecnych krivek. Jako by teprve cekal na finalni opracovani.",1
"Svuj podil na tomto dojmu maji ostre rezane boky a svetle seda barva, kterou Microsoft nazyva platinova. Cistemu designu rovnez nahrava i absence jakychkoliv samolepek typu Intel Inside, Graphic by NVidia apod., ktere na sve notebooky lepi konkurencni vyrobci. Matny povrch je pomerne odolny vuci otiskum prstu, coz se vsak neda rict o symetrickem zrcadlovem logu Microsoftu uprostred vika, ktere by mohla kriminalni policie vyuzit ke snimani otisku prstu.",1
"Pocitac jsme dostali na test v 13,5 variante, jeste existuje vetsi 15 model. Totozne velke displeje ma i notebookova rada Surface Laptop, ovsem testovany Surface Book 3 je naprosto odlisny druh zarizeni. Pocitite to uz pri prvnim seznameni, pri kterem vas prekvapi tloustka a hmotnost pocitace, zvlaste pak jste-li zvykli na tenke a lehke ultrabooky. Surface Book 3 s 13,5 displejem vazi 1,64 kg, coz je o 100 gramu vice nez ma 15 Surface Laptop 3. Jedna se o dan za vykonny hardware a unikatni konstrukci, ktera umoznuje oddelit displejovou cast od klavesnicove zakladny.",1
Otvirame pocitac obratel po obratli,1
"Ten se s kazdym stupnem rozevreni postupne rozbaluje a umozni nakloneni cele displejove casti az do uhlu 131deg. Pokud touzite po vetsim nakloneni, muzete displejovou cast od zakladny odpojit a pripojit ji v obracene poloze. Prijdete sice o pristup ke klavesnici, muzete vsak displej naklanet dal az do zcela vodorovne polohy. Tuto moznost ocenite predevsim pri ovladani pocitace prsty nebo stylusem, o cemz si povime v nektere z dalsich kapitol.",1
Tablet lehky jako pirko,1
"Tablet samotny vas na rozdil od celku sokuje svou nizkou hmotnosti. Bezne ke sve cinnosti pouzivam Surface Pro, ktery mi najednou v primem srovnani prisel tezsi. Nejprve jsem si myslel, ze je to dano vetsi plochou Surface Booku, na ktere se hmotnost lepe rozlozi, avsak digitalni vaha odhalila pravdu - Surface Pro vazi 775 gramu, displej Surface Booku 3 pouze 716 gramu. Jak je to mozne? Jednoduse. V tele Surface Pro je znatelne vetsi baterie, Surface Book 3 se vyhradne spoleha na druhy akumulator v klavesnicove casti.",1
Klavesnice a touchpad: chce to chvili zvyku,1
"Neni zadnym tajemstvim, ze klavesnice pocitacu Microsoft Surface povazuji za jedny z nejlepsich vubec. Na tu od Surface Booku jsem si ale musel chvili zvykat, klavesy maji vyssi zdvih, delsi drahu a prijdou mi malinko tvrdsi. Zpocatku se to neobeslo bez preklepu, pozdeji si vsak me prsty navykly. Dokonce se mi zda, ze se klavesy pouzivanim trochu ,,rozepsaly.",1
"Displej: Prijemna podivana, ale...",1
"Surface Book 3 dostal stejny displej jako jeho predchudce, ktery dostal stejny displej jako jeho predchudce. Co to znamena? Jednoduse to, ze v teto oblasti se u Surface Booku za pet let prakticky nic nezmenilo. Je to spatne? Ne tak docela, stale se jedna o velmi kvalitni zobrazovac, avsak co stacilo v roce 2015 na spicku, je dnes ,,pouze vyssi stredni trida.",1
"Prstem, perem nebo koleckem",1
"Displej Surface Booku je pochopitelne dotykovy a zvladne najednou vyhodnotit az 10 vstupu. Odezva dotykove obrazovky je na slusne urovni, coz plati i pri praci se stylusem Surface Pen. K Surface Booku 3 se hodi spise standardni Surface Pen, nez-li jeho slim verze prodavana k Surface Pro X, nebot se na tele testovaneho stroje nenachazi zadna kolebka pro bezdratove nabijeni. Hlinikovy Surface Pen ma u Surface Booku 3 parkovaci misto tradicne na leve strane displejove casti.",1
"Vykon: vykonny pracant, na kterem si i zahrajete",1
"Jestlize se na Surface Booku neco mezigeneracne zmenilo, tak je to vnitrni hardwarova vybava. Microsoft pocitac osadil nejnovejsimi procesory Intel Core 10. generace, ktere jsou ve vyssich konfiguracich doplneny o dedikovane grafiky od NVIDIA. Testovany stroj mel ve svych utrobach ultrabookovy ctyrjadrovy procesor Intel Core i7-1065G7 s vlastni grafickou kartou Intel Iris Plus, v pripade potreby vyssiho grafickeho vykonu se pak mohl oprit o dedikovanou grafiku NVIDIA GeForce GTX 1650 (Max-Q Design) se 4 GB pameti. Pocitac jsme dostali v pametove konfiguraci 16/256 GB, pricemz po nastartovani bylo volnych necelych 200 GB.",1
"Vykon Surface Booku 3 dostacuje na vsechny bezne cinnosti, aplikace se otviraji s neobycejnou ochotou, prepinani mezi nimi probiha bez sebemensiho zpozdeni. U nekterych tabletu s Windows pozoruji pomalejsi prekreslovani aplikaci pri zmene orientace, zde vsak vse probiha bleskurychle. Google Chrome muzete zahlcovat desitkami zalozek, ale system se ani na chvili nezadycha. Procesor ma TDP 15 Wattu, muze vsak kratkodobe sahnout az k 25 Wattum. Sympaticke je, ze ani zvysena zatez nevede k okamzitemu poklesu vykonu nebo nadmernemu zahrivani.",1
"Surface Book 3 ma v sobe integrovane dva akumulatory - jeden v tabletu, druhy v klavesnici. Pokud jsou obe casti spojene, poskytne vam pocitac slusnou vydrz, ovsem velice zalezi na tom, jak jeho vnitrnosti vytezujete. Pri beznych kancelarskych ukonech je schopen pracovat celou osmihodinovou pracovni smenu, se zapojenim externi grafiky vsak vydrz dramaticky klesa; pri maximalnim zatizeni (napriklad hrani narocnych her) dokonce muze spadnout az ke 3 hodinam.",1
"Microsoft svuj pocitac vybavil dvema fotoaparaty, jeden vzadu, druhy vpredu. Na rozdil od smartphonu bude casteji pouzivany ten predni, nebot porizovani fotografii 13,5 tabletem neni nic praktickeho, zvlaste pak musite-li jeste resit, kam odlozit klavesnici.",1
Zaver: Surface Book 3 tezi zejmena z chybejici konkurence,1
"Kdyz jsem zacal psat recenzi na Surface Book 3, zakazal jsem si nahlizet do sve rok stare recenze jeho predchudce. Nechtel jsem vykradat sam sebe a opakovat se, byt nepochybne doslo k mnoha prekryvum; ,,dvojka i trojka jsou si totiz podobne jako vejce vejci. Vlastne jedinou novinkou je osazeni pocitace novymi procesory a grafickou kartou, s cimz jde v ruku v ruce i modernejsi konektivita a delsi vydrz na jedno nabiti. K dispozici jsou take vetsi vyber pametovych variant.",1
Test ojetiny Land Rover Discovery 4: Schopny stroj s posramocenou povesti,0
"Land Rover Discovery se sice radi mezi SUV, ale je to jedno z mala aut sveho druhu, ktere nabidne i nadprumerne terenni schopnosti. Starsi modely bohuzel trapila slabsi spolehlivost, ktera je v lidech stale zafixovana. Zjistit, jak se veci maji, jsem se rozhodl s ojetinou ctvrte generace tohoto evergreenu - Discovery 4 zapujcenou od AAA Auto.",0
"Prvni veci, kterou Discovery dokaze zaujmout je jeho majestatni stavba. Tvari v tvar pusobi daleko vetsi nez skutecne je, coz jen podtrhuje jeho nezamenitelnost s konkurenci a zaroven vas nebudou realne rozmery nijak omezovat pri ceste utlymi ulickami historickych ctvrti ani podzemnimi garazemi moderni aglomerace. Zminena majestatnost vsak souvisi i s prepracovanym designem, kterym se Discovery priblizil svym drazsim sourozencum honosicim se jmenem Range Rover. Zaroven s tim si vsak ponechal pro sebe typicke prvky v podobe zvysene strechy od slouku B smerem dozadu, skel nakladoveho prostoru kontrastne vedoucich pres stresni hranu a v neposledni rade take dvoudilnych patych dveri. Jiste se najdou taci, kterym takovy design nebude po chuti, ovsem cetnost techto vozu na ceskych silnicich rozhodne svedci o tom, ze tito jedinci budou v mensine.",0
